team,games,win_numeric,avg_points_for,avg_points_against,avg_yards,avg_pass_yards,avg_rush_yards,turnovers,takeaways,point_diff,turnover_diff,third_down_pct,fourth_down_pct,redzone_pct
49ers,20,15,25.8,17.2,359.8,223.1,136.8,21,34,174,13,45.1,36.8,52.8
Bears,17,3,19.2,27.2,307.8,130.5,177.3,25,23,-137,-2,40.9,32.0,56.0
Bengals,19,14,25.7,19.6,353.8,257.9,95.9,21,28,117,7,46.9,30.8,63.6
Bills,18,14,27.7,19.1,394.9,261.4,133.5,31,29,155,-2,50.2,50.0,60.0
Broncos,17,5,16.9,21.1,325.1,211.3,113.8,24,23,-72,-1,29.1,50.0,55.6
Browns,17,7,21.2,22.4,349.1,202.6,146.5,21,20,-20,-1,38.1,54.8,53.6
Buccaneers,18,8,18.2,21.6,348.9,273.3,75.6,23,20,-62,-3,38.6,53.3,50.9
Cardinals,17,4,20.0,26.4,323.5,213.3,110.2,25,20,-109,-5,35.2,43.9,56.8
Chargers,18,10,23.4,23.1,357.1,268.7,88.4,19,29,6,10,43.8,51.7,54.5
Chiefs,20,17,29.2,22.2,404.6,288.8,115.7,24,25,140,1,48.9,76.9,71.1
Colts,17,4,17.0,25.1,311.6,201.9,109.8,34,21,-138,-13,32.9,46.2,45.8
Commanders,17,8,18.9,20.2,330.3,204.2,126.1,23,18,-22,-5,35.2,48.0,51.1
Cowboys,19,13,26.8,19.7,354.8,223.1,131.7,25,35,135,10,45.2,60.9,71.4
Dolphins,18,9,23.8,24.1,357.1,261.1,96.0,23,17,-5,-6,35.4,53.8,59.3
Eagles,20,16,29.0,19.8,385.8,233.8,152.0,20,31,185,11,47.6,73.0,68.0
Falcons,17,7,21.5,22.7,318.6,158.8,159.9,21,17,-21,-4,41.8,50.0,55.6
Giants,19,10,21.2,22.8,333.4,187.1,146.3,17,19,-30,2,37.8,52.0,64.8
Jaguars,19,10,23.9,21.4,358.6,233.5,125.1,29,27,48,-2,41.6,53.3,55.4
Jets,17,7,17.4,18.6,318.2,219.0,99.2,23,16,-20,-7,34.6,39.3,43.5
Lions,17,9,26.6,25.1,380.0,251.8,128.2,15,22,26,7,40.8,54.1,66.2
Packers,17,8,21.8,21.8,337.9,213.6,124.3,22,24,-1,2,39.5,38.7,51.9
Panthers,17,7,20.4,22.0,306.2,176.2,130.0,21,17,-27,-4,31.7,57.1,56.5
Patriots,17,8,21.4,20.4,314.6,208.0,106.6,23,30,17,7,34.9,38.5,42.2
Raiders,17,6,23.2,24.6,352.5,231.4,121.1,21,13,-23,-8,39.9,54.2,48.9
Rams,17,5,18.1,22.6,280.5,182.8,97.7,23,22,-77,-1,39.3,78.9,55.6
Ravens,18,10,20.4,18.8,340.2,180.5,159.7,23,26,28,3,41.0,43.5,44.4
Saints,17,7,19.4,20.3,333.8,217.2,116.6,25,14,-15,-11,40.2,36.4,52.1
Seahawks,18,9,23.9,24.6,350.4,231.2,119.2,25,25,-12,0,38.3,59.1,48.3
Steelers,17,9,18.1,20.4,322.6,200.6,121.9,19,23,-38,4,44.9,73.3,51.9
Texans,17,3,17.0,24.7,283.5,196.7,86.8,28,27,-131,-1,30.3,50.0,47.9
Titans,17,7,17.5,21.1,296.8,171.4,125.4,23,20,-61,-3,36.5,52.9,64.3
Vikings,18,13,24.9,25.4,359.8,264.2,95.7,23,25,-10,2,41.1,47.6,63.2
